Country,Code,Profiles,Outer identity exists,Outer identity missing,Missing %,Exists %
AE,AE,3,0,3,100.0,0.0
AM,AM,6,0,6,100.0,0.0
CZ,CZ,5,0,5,100.0,0.0
ET,ET,32,0,32,100.0,0.0
GE,GE,11,0,11,100.0,0.0
GH,GH,23,0,23,100.0,0.0
IL,IL,8,0,8,100.0,0.0
IS,IS,1,0,1,100.0,0.0
LK,LK,1,0,1,100.0,0.0
LT,LT,4,0,4,100.0,0.0
MK,MK,1,0,1,100.0,0.0
MW,MW,1,0,1,100.0,0.0
MX,MX,7,0,7,100.0,0.0
OM,OM,17,0,17,100.0,0.0
PE,PE,3,0,3,100.0,0.0
PK,PK,1,0,1,100.0,0.0
SG,SG,1,0,1,100.0,0.0
SK,SK,1,0,1,100.0,0.0
UA,UA,16,0,16,100.0,0.0
ZM,ZM,13,0,13,100.0,0.0
EC,EC,39,1,38,97.44,2.56
JP,JP,38,1,37,97.37,2.63
AU,AU,26,1,25,96.15,3.85
PT,PT,33,2,31,93.94,6.06
UG,UG,29,2,27,93.1,6.9
CO,CO,11,1,10,90.91,9.09
NO,NO,11,1,10,90.91,9.09
KE,KE,18,2,16,88.89,11.11
AR,AR,8,1,7,87.5,12.5
TZ,TZ,10,2,8,80.0,20.0
TR,TR,50,11,39,78.0,22.0
US,US,184,41,143,77.72,22.28
UK,UK,161,38,123,76.4,23.6
AT,AT,21,5,16,76.19,23.81
NG,NG,4,1,3,75.0,25.0
PL,PL,12,3,9,75.0,25.0
ZA,ZA,11,3,8,72.73,27.27
BE,BE,9,3,6,66.67,33.33
CR,CR,3,1,2,66.67,33.33
BR,BR,113,39,74,65.49,34.51
DK,DK,7,3,4,57.14,42.86
NZ,NZ,7,3,4,57.14,42.86
NL,NL,23,10,13,56.52,43.48
SE,SE,9,4,5,55.56,44.44
IT,IT,44,20,24,54.55,45.45
CL,CL,35,16,19,54.29,45.71
MY,MY,36,17,19,52.78,47.22
NP,NP,6,3,3,50.0,50.0
CH,CH,17,9,8,47.06,52.94
IE,IE,15,9,6,40.0,60.0
ES,ES,70,43,27,38.57,61.43
BG,BG,6,4,2,33.33,66.67
PH,PH,12,8,4,33.33,66.67
GR,GR,22,15,7,31.82,68.18
FR,FR,116,81,35,30.17,69.83
TW,TW,8,6,2,25.0,75.0
CA,CA,77,64,13,16.88,83.12
DE,DE,134,113,21,15.67,84.33
BD,BD,18,17,1,5.56,94.44
BW,BW,1,1,0,0.0,100.0
FI,FI,7,7,0,0.0,100.0
HR,HR,2,2,0,0.0,100.0
HU,HU,1,1,0,0.0,100.0
LU,LU,1,1,0,0.0,100.0
MT,MT,1,1,0,0.0,100.0
SA,SA,1,1,0,0.0,100.0
SI,SI,3,3,0,0.0,100.0
UY,UY,1,1,0,0.0,100.0
